feature,coef
const,183582507902.3914
HEAVY_TRUCK_COUNT,0.1738380986596164
ILLUMINATION_nan_SHARE,-136453765558.03973
INTERSECTION_RELATED_SHARE,92204913.8535108
RDWY_SURF_TYPE_CD_1.0_SHARE,-1.874755812721471
RDWY_SURF_TYPE_CD_2.0_SHARE,-2.272694012515492
RDWY_SURF_TYPE_CD_4.0_SHARE,-2.269080276475422
RDWY_SURF_TYPE_CD_5.0_SHARE,-2.269728118761147
RDWY_SURF_TYPE_CD_9.0_SHARE,-2.67387210869463
RDWY_SURF_TYPE_CD_nan_SHARE,-2.0220887042653937
ROAD_CONDITION_1_SHARE,0.14160767149087175
ROAD_CONDITION_2_SHARE,-0.003953697429942375
ROAD_CONDITION_6_SHARE,0.13325822519961178
ROAD_CONDITION_7_SHARE,-0.10280393649520525
ROAD_CONDITION_8_SHARE,0.3169656154932242
ROAD_CONDITION_9_SHARE,0.09292933963402866
URBAN_RURAL_1_SHARE,-16313605200.118896
URBAN_RURAL_2_SHARE,-16313605199.021149
VEHICLE_COUNT,0.5510130856797169
WEATHER1_10.0_SHARE,0.11446937624356363
WEATHER1_2.0_SHARE,0.04017728900080987
WEATHER1_3.0_SHARE,0.022062380669707164
WEATHER1_4.0_SHARE,0.06255952648065087
WEATHER1_5.0_SHARE,-0.10989321011112686
WEATHER1_7.0_SHARE,0.20030194591703374
WEATHER2_10.0_SHARE,0.06049102831493611
WEATHER2_3.0_SHARE,0.14304979532469675
WEATHER2_4.0_SHARE,0.21302000582709912
WEATHER2_7.0_SHARE,0.25730154961029805
WEATHER2_98.0_SHARE,0.0856247203327734
WEATHER2_nan_SHARE,0.03125168206232815
WORK_ZONE_IND_SHARE,-1904926.510855019
WORK_ZONE_LOC_1.0_SHARE,0.34597322870375313
WORK_ZONE_LOC_2.0_SHARE,-0.1948681013225283
WORK_ZONE_LOC_3.0_SHARE,0.0730876594284322
WORK_ZONE_LOC_4.0_SHARE,-0.09287836808006278
WORK_ZONE_LOC_8.0_SHARE,-0.492007524490477
WORK_ZONE_LOC_nan_SHARE,-15378147029.039341
WORK_ZONE_TYPE_1.0_SHARE,-30815137142.038116
WORK_ZONE_TYPE_2.0_SHARE,-30815137142.625023
WORK_ZONE_TYPE_3.0_SHARE,-30815137142.980736
WORK_ZONE_TYPE_8.0_SHARE,-30815137142.592712
WORK_ZONE_TYPE_nan_SHARE,-15436990113.641396
